Estacao;Data;Hora;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;
83377;31/01/2001;0000;2.419355;12;
83377;28/02/2001;0000;1.778571;7;
83377;31/03/2001;0000;1.844444;9;
83377;30/04/2001;0000;2.477778;8;
83377;31/05/2001;0000;1.606452;6;
83377;30/06/2001;0000;2.366667;6;
83377;31/07/2001;0000;2.426882;9;
83377;31/08/2001;0000;4.430108;14;
83377;30/09/2001;0000;2.567467;9;
83377;31/10/2001;0000;2.389419;8;
83377;30/11/2001;0000;2.195333;9;
83377;31/12/2001;0000;2.730452;10;
83377;31/01/2002;0000;2.607957;12;
83377;28/02/2002;0000;2.196476;8;
83377;31/03/2002;0000;2.673175;7;
83377;30/04/2002;0000;2.807036;7;
83377;31/05/2002;0000;2.32786;9;
83377;30/06/2002;0000;2.950862;9;
83377;31/07/2002;0000;2.197298;11.8;
83377;31/08/2002;0000;3.444587;9;
83377;30/09/2002;0000;2.353182;9;
83377;31/10/2002;0000;2.071348;12;
83377;30/11/2002;0000;1.882591;7;
83377;31/12/2002;0000;1.704514;9;
83377;31/01/2003;0000;2.487287;12;
83377;28/02/2003;0000;2.321429;7;
83377;31/03/2003;0000;1.910753;9;
83377;30/04/2003;0000;2.433333;8;
83377;31/05/2003;0000;2.587097;9;
83377;30/06/2003;0000;2.222222;9;
83377;31/07/2003;0000;3.021505;10;
83377;31/08/2003;0000;2.172043;7;
83377;30/09/2003;0000;2.722222;7;
83377;31/10/2003;0000;2.387097;9;
83377;30/11/2003;0000;1.927778;8;
83377;31/12/2003;0000;2.182796;9;
83377;31/01/2004;0000;2.924731;9;
83377;29/02/2004;0000;2.333333;8;
83377;31/03/2004;0000;2.204301;7;
83377;30/04/2004;0000;2.055556;9;
83377;31/05/2004;0000;2.258065;7;
83377;30/06/2004;0000;2.833333;9;
83377;31/07/2004;0000;3.247312;9;
83377;31/08/2004;0000;2.882796;9;
83377;30/09/2004;0000;3.396667;9;
83377;31/10/2004;0000;2.623656;9;
83377;30/11/2004;0000;2.611111;8;
83377;31/12/2004;0000;2.086022;7;
83377;31/01/2005;0000;2.569892;9;
83377;28/02/2005;0000;2.192195;6;
83377;31/03/2005;0000;1.808602;7;
83377;30/04/2005;0000;2.722543;7;
83377;31/05/2005;0000;3.473429;9;
83377;30/06/2005;0000;3.133333;9;
83377;31/07/2005;0000;3.118375;8.74548;
83377;31/08/2005;0000;3.236559;9;
83377;30/09/2005;0000;3.074444;10;
83377;31/10/2005;0000;2.170968;7;
83377;30/11/2005;0000;2.234444;8;
83377;31/12/2005;0000;1.921742;10;
83377;31/01/2006;0000;2.645161;9;
83377;28/02/2006;0000;1.595238;8;
83377;31/03/2006;0000;1.68172;8;
83377;30/04/2006;0000;1.811111;7;
83377;31/05/2006;0000;1.526882;6;
83377;30/06/2006;0000;2.511111;6;
83377;31/07/2006;0000;2.268817;7;
83377;31/08/2006;0000;2.215054;7;
83377;30/09/2006;0000;2.183333;7;
83377;31/10/2006;0000;1.487097;7;
83377;30/11/2006;0000;1.734444;7;
83377;31/12/2006;0000;1.83871;7;
83377;31/01/2007;0000;1.313978;9;
83377;28/02/2007;0000;2.090476;7;
83377;31/03/2007;0000;2.924731;9;
83377;30/04/2007;0000;2.011111;10;
83377;31/05/2007;0000;2.311828;8.2;
83377;30/06/2007;0000;2.393103;7;
83377;31/07/2007;0000;2.208602;7;
83377;31/08/2007;0000;4.097849;10;
83377;30/09/2007;0000;3.766667;9;
83377;31/10/2007;0000;2.235484;9;
83377;30/11/2007;0000;1.877778;12;
